,ref_transcript,hyp_transcript,diff_name,diff_type,frequency,percentage
340,rev,openai-async,is_contraction,reductions,45,0.00475988999365348
341,rev,openai-async,filler_sub,verbatim,25,0.0026443833298074888
342,rev,openai-async,filler_del,verbatim,1679,0.17759678442987095
343,rev,openai-async,del_restart,verbatim,338,0.03575206261899725
344,rev,openai-async,future_ll_del_19c,morpho_syntax,17,0.0017981806642690923
345,rev,openai-async,aint_sub_22a,morpho_syntax,10,0.0010577533319229956
346,rev,openai-async,if_whether_del_23b,morpho_syntax,11,0.0011635286651152951
347,rev,openai-async,finna_19i,morpho_syntax,1,0.00010577533319229955
348,rev,openai-async,done_del_19g,morpho_syntax,2,0.0002115506663845991
349,rev,openai-async,all_combined,morpho_syntax,983,0.10397715252803047
350,rev,openai-async,all_combined,reductions,45,0.00475988999365348
351,rev,openai-async,all_combined,verbatim,2042,0.21599323037867568
